"","WorldID","spines","no_spines","extinct","extant","plant_richness","MeanTemp","legthDry","meanBA","continent","country","perc_spines","perc_no_spines"
"482",12933,0,9,16,3,9,18.3727881531106,4.07777777777778,0.000293045,"OC","Australia",0,1
"487",13073,5,1,15,1,6,17.5513600366295,11.9555555555556,0.000239375,"AM","Argentina",0.833333333333333,0.166666666666667
"488",13074,9,0,21,1,9,19.1252201377221,10.9444444444444,0.000330072,"AM","Argentina",1,0
"489",13075,13,0,20,0,13,19.0450314177657,8.91111111111111,0.009467908,"AM","Argentina",1,0
"490",13076,5,0,21,0,5,14.6074921371427,6.98888888888889,0.006344772,"AM","Argentina",1,0
"491",13077,7,1,21,0,8,18.0414386765762,7,0.00150016,"AM","Argentina",0.875,0.125
"492",13078,4,0,21,0,4,18.3786162991194,6.65555555555556,0.000386802,"AM","Argentina",1,0
"494",13080,4,3,30,0,7,18.7401729376811,5,0.000264825,"AM","Argentina",0.571428571428571,0.428571428571429
"495",13081,3,2,28,0,5,18.593899409726,5,0.000828158,"AM","Argentina",0.6,0.4
"496",13082,12,12,26,0,24,18.673750102595,4.67777777777778,0.001039415,"AM","Argentina",0.5,0.5
"497",13083,2,6,26,1,8,18.7233097640223,4.13333333333333,1.66e-05,"AM","Argentina",0.25,0.75
"498",13084,0,4,27,1,4,18.0043474965126,3.77777777777778,0.000202335,"AM","Brazil",0,1
"499",13085,6,12,28,0,18,17.9759511760196,2.04444444444444,NA,"AM","Brazil",0.333333333333333,0.666666666666667
"500",13086,2,2,26,0,4,17.9926022084254,0.777777777777778,2.32e-05,"AM","Brazil",0.5,0.5
"502",13088,4,8,29,0,12,17.8894968161793,0.522222222222222,0.000268152,"AM","Brazil",0.333333333333333,0.666666666666667
"519",13256,6,10,14,1,16,18.625526731869,8.72222222222222,0.00210913,"OC","Australia",0.375,0.625
"520",13257,4,25,14,1,29,17.8608176058943,11,0.004327,"OC","Australia",0.137931034482759,0.862068965517241
"521",13258,3,50,12,1,53,18.0939779451058,12,0.005055533,"OC","Australia",0.0566037735849057,0.943396226415094
"522",13259,0,36,4,1,36,18.0760377356091,12,0.002806117,"OC","Australia",0,1
"523",13260,2,23,3,1,25,18.0199528722643,12,0.022056941,"OC","Australia",0.08,0.92
"524",13261,0,15,3,1,15,17.7148506086577,12,0.041696534,"OC","Australia",0,1
"525",13262,0,15,3,1,15,17.8375157399747,12,0.013506689,"OC","Australia",0,1
"526",13263,2,18,3,1,20,18.1163128759876,12,0.002418241,"OC","Australia",0.1,0.9
"527",13264,0,19,4,1,19,18.1500393812012,12,0.009933921,"OC","Australia",0,1
"528",13265,0,11,3,1,11,18.3095440158304,12,0.008293543,"OC","Australia",0,1
"529",13266,1,8,3,0,9,18.0494496973805,12,NA,"OC","Australia",0.111111111111111,0.888888888888889
